"idiom_id_only"	"M"	"SD"
"r17"	2.7	1.43
"m08"	2.54	1.53
"r18"	2.39	1.24
"p01"	2.33	1.52
"i16"	2.28	1.46
"s03"	2.28	1.37
"i09"	2.27	1.3
"p10"	2.27	1.43
"o13"	2.13	1.33
"r03"	2.12	1.4
"r08"	2.07	1.37
"b23"	2.05	1.17
"i05"	2.04	1.22
"n18"	2.04	1.47
"k04"	2.01	1.21
"b29"	1.98	1.32
"c25"	1.98	1.5
"k20"	1.98	1.53
"c25b"	1.93	1.54
"m03"	1.92	1.21
"s12"	1.92	1.22
"i18"	1.91	1.27
"o04"	1.91	1.59
"p02"	1.9	1.48
"c26"	1.87	1.51
"n11"	1.86	1.34
"i03"	1.85	1.3
"e03"	1.72	1.45
"b03"	1.71	1.6
"n03"	1.68	1.36
"p09"	1.68	1.47
"s07"	1.68	1.41
"i01"	1.67	1.45
"o11"	1.67	1.49
"m04"	1.66	1.38
"m13"	1.66	1.35
"k13"	1.65	1.54
"f24"	1.64	1.26
"m20"	1.64	1.29
"e21"	1.63	1.36
"f25"	1.62	1.33
"o01"	1.6	1.4
"a17"	1.59	1.38
"p17"	1.58	1.41
"n08"	1.57	1.67
"r01"	1.54	1.39
"e17"	1.53	1.2
"o12"	1.51	1.56
"p05"	1.51	1.37
"r09"	1.49	1.35
"s06"	1.47	1.24
"s10"	1.47	1.4
"b34"	1.45	1.54
"c14"	1.45	1.38
"b08"	1.44	1.42
"n01"	1.44	1.33
"a20"	1.4	1.34
"s04"	1.39	1.46
"a16"	1.38	1.22
"k10"	1.38	1.35
"m21"	1.37	1.26
"k23"	1.36	1.55
"k21"	1.34	1.56
"o20"	1.34	1.38
"e09"	1.33	1.38
"e10"	1.29	1.54
"b20"	1.27	1.43
"n26"	1.27	1.45
"e05"	1.26	1.49
"f14"	1.26	1.35
"f05"	1.24	1.4
"f27"	1.24	1.56
"f08"	1.22	1.52
