"idiom_id_only,""M"",""SD"""
r17,4.37,1.07
c26,4.02,1.28
c25b,3.88,1.36
s03,3.88,1.31
c25,3.85,1.33
b23,3.81,1.14
p10,3.81,1.39
k20,3.8,1.48
r08,3.75,1.29
o13,3.74,1.27
i18,3.7,1.25
p01,3.69,1.48
f24,3.49,1.18
a17,3.44,1.5
m08,3.44,1.62
r03,3.43,1.56
b29,3.42,1.26
i09,3.42,1.17
n11,3.41,1.35
f12,3.39,1.46
f05b,3.36,1.38
n03,3.36,1.37
e03,3.3,1.46
p02,3.28,1.56
b03,3.27,1.59
p17,3.25,1.45
f14,3.22,1.35
k04,3.21,1.15
n18,3.2,1.59
r18,3.2,1.35
o11,3.19,1.53
s12,3.17,1.27
i03,3.16,1.36
e05,3.14,1.51
i01,3.13,1.58
i05,3.1,1.41
m04,3.1,1.46
o01,3.08,1.47
o04,3.08,1.66
e10,3.07,1.53
s07,3.06,1.53
b08,3.03,1.44
m13,3.03,1.51
n01,3.03,1.5
f08,3,1.43
m03,3,1.29
e09,2.99,1.4
p09,2.99,1.5
e21,2.96,1.57
f25,2.95,1.44
s04,2.95,1.47
s06,2.93,1.39
r09,2.92,1.53
i16,2.9,1.5
b34,2.89,1.56
n08,2.79,1.62
m21,2.76,1.41
o12,2.74,1.64
n26,2.71,1.54
k13,2.7,1.65
e17,2.65,1.37
m20,2.65,1.25
r01,2.65,1.44
k21,2.64,1.61
k23,2.61,1.56
a16,2.6,1.09
k10,2.59,1.49
o20,2.56,1.48
f27b,2.55,1.57
c14,2.47,1.5
f27,2.46,1.57
p05,2.39,1.57
b20,2.35,1.6
s10,2.32,1.32
a20,2.29,1.49
