"idiom_id_only","M","SD"
"r17",4.06979639014848,1.28543357809878
"s03",3.75014046071113,1.31165378210093
"p10",3.71524140662823,1.41405190050707
"k20",3.70302568014238,1.51368242536006
"c25",3.6673222440748,1.41152235531459
"b23",3.66123567513702,1.15252089678338
"c25b",3.58549147973428,1.45848150544923
"m08",3.56920583468395,1.52511524580362
"p01",3.53924016465349,1.5177878996302
"c26",3.45912788371783,1.51219844934661
"r08",3.44988573294156,1.35430469667306
"o13",3.42091874174453,1.38446820429719
"r03",3.41205436281268,1.49973618024781
"i09",3.38716572874406,1.22049694002938
"b29",3.3623112179728,1.27585774783331
"p02",3.33252435976383,1.49637232342459
"n11",3.33163114995581,1.34001034916419
"i18",3.32187411397788,1.2960280791917
"f24",3.22121896162528,1.33388734966869
"b03",3.2000666888963,1.59747591328764
"n18",3.17959006615335,1.5788941065923
"o01",3.11662548535122,1.41858341209711
"s12",3.10760773186735,1.21302544695561
"e05",3.10731919837351,1.51044252377667
"i05",3.09277745155608,1.36272682824474
"k04",3.07435324177579,1.19256921731913
"f05",3.04714932126697,1.45336393907343
"i01",3.04128957220223,1.49282347227656
"o04",3.0399720108458,1.61037608212446
"f14",3.02943237561317,1.31153683708303
"b08",3.02852150034326,1.41751895390063
"i03",3.01419534022527,1.32490842287496
"n03",2.99719343696028,1.35391045841528
"f25",2.98712595685456,1.3795245926618
"f08",2.94799658994032,1.43926888333573
"o11",2.93925802037403,1.48374878801046
"e03",2.93380855397149,1.45574595605967
"m04",2.92772304897646,1.47173021768717
"s07",2.89679570592062,1.4498820961674
"m13",2.85818273092369,1.36073052360263
"m03",2.85194420109172,1.24457906381406
"p09",2.84948494849485,1.50249186874912
"e10",2.84269423425344,1.55314496854024
"m04b",2.8359,1.51934263094373
"s06",2.83440353460972,1.35580020619396
"b34",2.81488477521723,1.52617981912386
"i16",2.81300278465347,1.46502931901758
"r18",2.80002851304472,1.28265760454818
"e21",2.79253068133728,1.45921478864756
"p17",2.77605659025788,1.43123685324367
"m20",2.75934384362261,1.26737017202344
"n08",2.73528200905723,1.61372642871952
"a16",2.731241473397,1.19735892977566
"o12",2.7187856653732,1.61411750771365
"e09",2.69184522891938,1.41241350337057
"n01",2.69096209912536,1.34816984108317
"a17",2.68197621225984,1.53111187080744
"s04",2.67917643992703,1.47378275262909
"k13",2.64855375355292,1.64475755753595
"k21",2.61828135368281,1.57204429890539
"k23",2.61296483541175,1.55555054952711
"c14",2.60576923076923,1.44448600939882
"r01",2.58173319858514,1.40377315438803
"e17",2.55988857938719,1.33143436896679
"k10",2.54570825162166,1.40470874850942
"n26",2.5071545009962,1.43531843896531
"r09",2.50499827645639,1.47568540767022
"m21",2.49605263157895,1.35947174936959
"f27",2.45829950121796,1.54657989077463
"a20",2.41854304635762,1.44601750198956
"p05",2.37831710894786,1.44019938803679
"o20",2.3509568602011,1.44690417540939
"s10",2.2676960819684,1.31322215454304
"b20",2.26114478114478,1.44468035543708
